site,year,npp,ppt
CDR-A,1982,301.2215,879.348
CDR-A,1983,263.0341667,858.012
CDR-A,1984,351.2463333,876.046
CDR-A,1985,474.354,993.648
CDR-A,1986,555.8656667,858.52
CDR-A,1987,488.2386667,578.612
CDR-A,1988,401.2323333,591.312
CDR-A,1989,600.8591667,618.744
CDR-A,1990,437.9473333,1058.164
CDR-A,1991,535.7968333,1163.066
CDR-A,1992,485.3726667,717.55
CDR-A,1993,513.9548333,1026.16
CDR-A,1994,451.2048333,797.052
CDR-A,1995,649.3185,960.12
CDR-A,1996,645.5388333,959.104
CDR-A,1997,630.5545,690.626
CDR-A,1998,691.3238333,669.29
CDR-A,1999,921.8546667,734.822
CDR-A,2000,587.745,599.694
CDR-A,2001,610.66,820.928
CDR-A,2002,596.6501667,905.51
CDR-A,2003,510.5431667,604.774
CDR-A,2004,121.0972333,857.504
CDR-A,2008,57.91333333,655.066
CDR-D,1982,192.2726,879.348
CDR-D,1983,326.7454,858.012
CDR-D,1984,280.8224,876.046
CDR-D,1985,341.494,993.648
CDR-D,1986,658.111,858.52
CDR-D,1987,383.2598,578.612
CDR-D,1988,203.7776,591.312
CDR-D,1989,558.4998,618.744
CDR-D,1990,375.514,1058.164
CDR-D,1991,317.2488,1163.066
CDR-D,1992,607.7404,717.55
CDR-D,1993,481.7758,1026.16
CDR-D,1994,444.5994,797.052
CDR-D,1995,725.4848,960.12
CDR-D,1996,575.1972,959.104
CDR-D,1997,425.9976,690.626
CDR-D,1998,772.263,669.29
CDR-D,1999,507.5526,734.822
CDR-D,2000,518.0426,599.694
CDR-D,2001,613.9886,820.928
CDR-D,2002,530.472,905.51
CDR-D,2003,635.0496,604.774
CDR-D,2004,724.34128,857.504
CDR-D,2008,108.948,655.066
