site,year,npp,ppt
BASN,1990,77.2,199.644
BASN,1991,118,294.64
BASN,1992,156.7,422.148
BASN,1993,111,251.714
BASN,1994,60.1,176.022
BASN,1995,85.9,194.564
BASN,1996,104.6,213.868
BASN,1997,116,275.336
BASN,1998,96.4,214.376
BASN,1999,219.9,235.458
BASN,2000,110.8,242.57
BASN,2001,112.9,103.632
BASN,2002,128.5,169.926
BASN,2003,94.1,144.78
BASN,2004,95.8,305.816
BASN,2005,180.3,241.808
BASN,2006,211,332.994
BASN,2007,219.2,252.222
BASN,2008,320,328.676
BASN,2009,124.5,167.132
BASN,2010,205.7,209.042
CALI,1990,28.6,228.346
CALI,1991,32.5,406.4
CALI,1992,60.6,372.618
CALI,1993,42.9,259.08
CALI,1994,26.6,199.136
CALI,1995,29,197.104
CALI,1996,37.2,271.272
CALI,1997,32.8,259.588
CALI,1998,31.6,201.168
CALI,1999,38.5,254.254
CALI,2000,23,247.396
CALI,2001,32.4,115.062
CALI,2002,25.8,218.186
CALI,2003,20.1,132.842
CALI,2004,24.7,323.342
CALI,2005,31.1,214.884
CALI,2006,40.5,335.026
CALI,2007,48.9,225.806
CALI,2008,84.6,390.906
CALI,2009,29.1,184.912
CALI,2010,61.3,218.948
COLL,1990,136,199.644
COLL,1991,195,294.64
COLL,1992,215.9,422.148
COLL,1993,39.1,251.714
COLL,1994,1.7,176.022
COLL,1995,26.3,194.564
COLL,1996,659.7,213.868
COLL,1997,524.2,275.336
COLL,1998,139.4,206.248
COLL,1999,356.3,239.522
COLL,2000,38.1,240.03
COLL,2001,112.8,113.03
COLL,2002,210,167.132
COLL,2003,85.8,139.446
COLL,2004,478.7,101.854
COLL,2005,291.9,202.946
COLL,2006,267.9,329.692
COLL,2007,339.9,250.952
COLL,2008,131.9,339.852
COLL,2009,185.9,187.198
COLL,2010,106.9,221.742
EAST,1990,72.2,227.584
EAST,1991,127,334.01
EAST,1992,92,345.44
EAST,1993,81.7,289.306
EAST,1994,81,135.382
EAST,1995,65.5,185.42
EAST,1996,97.1,207.264
EAST,1997,112.8,236.728
EAST,1998,66.6,209.042
EAST,1999,98.2,237.236
EAST,2000,36.5,212.344
EAST,2001,53.4,119.38
EAST,2002,52.2,153.924
EAST,2003,33.6,118.618
EAST,2004,84.1,393.7
EAST,2005,161.1,252.73
EAST,2006,118.1,382.016
EAST,2007,148.7,218.694
EAST,2008,171.7,322.072
EAST,2009,87.8,193.294
EAST,2010,111.2,224.536
GRAV,1990,85.7,226.822
GRAV,1991,90.4,291.592
GRAV,1992,103.7,393.954
GRAV,1993,89.8,254.508
GRAV,1994,71.5,158.496
GRAV,1995,79.1,184.658
GRAV,1996,97.1,213.868
GRAV,1997,55.4,249.428
GRAV,1998,62.9,194.056
GRAV,1999,118.1,279.908
GRAV,2000,49.6,203.962
GRAV,2001,74.2,105.156
GRAV,2002,63.6,223.52
GRAV,2003,47.3,109.982
GRAV,2004,65.7,324.612
GRAV,2005,100.8,236.982
GRAV,2006,121.5,432.562
GRAV,2007,113.1,223.52
GRAV,2008,138.1,386.08
GRAV,2009,99.4,202.438
GRAV,2010,181,227.076
IBPE,1990,34.1,210.312
IBPE,1991,96.1,388.874
IBPE,1992,126.6,321.31
IBPE,1993,85.7,254.762
IBPE,1994,26.6,134.112
IBPE,1995,118.9,181.102
IBPE,1996,97.4,220.218
IBPE,1997,136.7,268.986
IBPE,1998,37.2,199.898
IBPE,1999,128,182.626
IBPE,2000,73.1,305.308
IBPE,2001,68.8,155.702
IBPE,2002,94.4,173.736
IBPE,2003,73.3,118.364
IBPE,2004,55.2,296.926
IBPE,2005,144.1,193.548
IBPE,2006,245.7,473.71
IBPE,2007,172.2,180.086
IBPE,2008,191.8,323.85
IBPE,2009,103.2,162.814
IBPE,2010,326.6,237.236
NORT,1990,57.9,208.534
NORT,1991,23.2,255.524
NORT,1992,68.9,404.622
NORT,1993,67.2,286.766
NORT,1994,43.2,161.29
NORT,1995,64.7,164.846
NORT,1996,86.5,254.762
NORT,1997,104.3,302.006
NORT,1998,64.2,130.302
NORT,1999,95.9,145.796
NORT,2000,86,156.972
NORT,2001,134,171.958
NORT,2002,68.9,204.724
NORT,2003,64.2,137.16
NORT,2004,82,291.592
NORT,2005,99.3,253.238
NORT,2006,223.5,427.482
NORT,2007,362.2,239.522
NORT,2008,307.2,350.266
NORT,2009,151.9,203.708
NORT,2010,216.4,211.328
RABB,1990,106.1,262.128
RABB,1991,76.9,249.936
RABB,1992,87.5,379.984
RABB,1993,72.7,257.302
RABB,1994,22,129.54
RABB,1995,55.3,160.782
RABB,1996,142.6,213.36
RABB,1997,84.4,267.462
RABB,1998,50.9,202.946
RABB,1999,90.8,220.472
RABB,2000,77.9,318.262
RABB,2001,113.7,185.166
RABB,2002,67.1,201.422
RABB,2003,46.6,115.57
RABB,2004,69.6,276.86
RABB,2005,158.9,221.488
RABB,2006,236.6,416.56
RABB,2007,424.4,219.456
RABB,2008,358.9,298.196
RABB,2009,205.8,173.99
RABB,2010,268.8,213.614
SAND,1990,103.3,254.508
SAND,1991,125.7,426.974
SAND,1992,173.3,393.446
SAND,1993,122.8,294.64
SAND,1994,66.9,248.412
SAND,1995,112.1,198.628
SAND,1996,194.9,286.258
SAND,1997,108.4,252.222
SAND,1998,93.9,199.644
SAND,1999,122.4,253.492
SAND,2000,53.5,239.268
SAND,2001,106.3,105.41
SAND,2002,106.6,219.202
SAND,2003,56.1,121.92
SAND,2004,133.4,406.908
SAND,2005,146,221.488
SAND,2006,173.4,341.376
SAND,2007,170.6,215.138
SAND,2008,220.8,370.586
SAND,2009,106.2,174.752
SAND,2010,195.2,228.854
SMAL,1990,181.6,183.642
SMAL,1991,279.4,351.282
SMAL,1992,261.8,316.738
SMAL,1993,638.4,282.448
SMAL,1994,17,110.744
SMAL,1995,128.3,167.132
SMAL,1996,706,192.024
SMAL,1997,427.2,221.996
SMAL,1998,48.7,177.038
SMAL,1999,295.5,194.31
SMAL,2000,152.2,110.744
SMAL,2001,136.5,163.576
SMAL,2002,293.4,121.666
SMAL,2003,57.6,146.05
SMAL,2004,927.3,249.936
SMAL,2005,98.5,181.864
SMAL,2006,1,439.928
SMAL,2007,250.8,214.122
SMAL,2008,108.3,330.708
SMAL,2009,3.7,160.274
SMAL,2010,149.8,231.14
SUMM,1990,53.7,238.506
SUMM,1991,107.9,406.654
SUMM,1992,226.5,382.778
SUMM,1993,91.1,259.08
SUMM,1994,36.7,216.408
SUMM,1995,67.5,184.912
SUMM,1996,92.2,265.938
SUMM,1997,119.5,256.794
SUMM,1998,50.9,204.724
SUMM,1999,146.1,241.808
SUMM,2000,38.1,244.856
SUMM,2001,92,120.904
SUMM,2002,48.2,170.434
SUMM,2003,90.4,164.084
SUMM,2004,195.5,364.998
SUMM,2005,314.2,272.542
SUMM,2006,402.4,346.456
SUMM,2007,225.3,225.044
SUMM,2008,375.2,430.276
SUMM,2009,128.1,193.294
SUMM,2010,249.6,248.412
TAYL,1990,53.9,232.156
TAYL,1991,60.7,289.052
TAYL,1992,49.4,364.236
TAYL,1993,67.4,269.494
TAYL,1994,65.4,203.962
TAYL,1995,40,176.53
TAYL,1996,94.3,261.366
TAYL,1997,135.5,303.276
TAYL,1998,47.6,176.276
TAYL,1999,73.1,218.44
TAYL,2000,33.6,215.138
TAYL,2001,72.1,148.336
TAYL,2002,48,196.342
TAYL,2003,31.8,119.888
TAYL,2004,73.3,402.082
TAYL,2005,97.1,261.112
TAYL,2006,140,372.618
TAYL,2007,102.4,225.806
TAYL,2008,157,310.896
TAYL,2009,43.2,172.72
TAYL,2010,53.8,180.594
TOBO,1990,50.5,234.188
TOBO,1991,58.4,232.664
TOBO,1992,77.3,374.904
TOBO,1993,47.3,306.07
TOBO,1994,8.5,150.876
TOBO,1995,13.7,162.052
TOBO,1996,59.5,243.84
TOBO,1997,380.2,371.094
TOBO,1998,76.6,210.312
TOBO,1999,93,196.088
TOBO,2000,4.8,292.354
TOBO,2001,56.9,145.288
TOBO,2002,42.1,189.738
TOBO,2003,20,123.698
TOBO,2004,42.5,290.83
TOBO,2005,56.2,208.28
TOBO,2006,150.3,340.868
TOBO,2007,275.1,217.17
TOBO,2008,404.2,294.894
TOBO,2009,111.8,196.596
TOBO,2010,85.9,169.672
WELL,1990,79.8,214.122
WELL,1991,77.4,248.92
WELL,1992,77.5,398.78
WELL,1993,110.2,259.334
WELL,1994,45.5,156.972
WELL,1995,89.2,202.692
WELL,1996,45.6,168.148
WELL,1997,73.1,234.696
WELL,1998,61.3,169.164
WELL,1999,92.3,250.952
WELL,2000,98.2,263.906
WELL,2001,140.9,154.178
WELL,2002,58.4,160.782
WELL,2003,46.7,119.38
WELL,2004,60.9,295.656
WELL,2005,130.8,200.152
WELL,2006,89.9,401.828
WELL,2007,334.5,212.598
WELL,2008,272.1,292.354
WELL,2009,98.6,164.084
WELL,2010,242.6,238.252
WEST,1990,92.8,227.584
WEST,1991,84.4,334.01
WEST,1992,70.3,345.44
WEST,1993,57,289.306
WEST,1994,56,135.382
WEST,1995,43.6,185.42
WEST,1996,62.4,207.264
WEST,1997,73.3,236.728
WEST,1998,49,200.152
WEST,1999,53.2,206.756
WEST,2000,14.5,211.074
WEST,2001,37.2,109.728
WEST,2002,49.3,219.964
WEST,2003,27.4,109.474
WEST,2004,45.7,376.682
WEST,2005,85.3,252.222
WEST,2006,84.5,378.714
WEST,2007,153.8,231.902
WEST,2008,144.5,332.232
WEST,2009,73.3,197.104
WEST,2010,126.4,216.408
