site,year,npp,ppt
KNZ-001d,1984,449.21,942
KNZ-001d,1985,470.195,901
KNZ-001d,1986,427.6175,912
KNZ-001d,1987,491.43,821
KNZ-001d,1988,347.9325,481
KNZ-001d,1989,249.31,542
KNZ-001d,1990,526.67,570
KNZ-001d,1991,436.28,569
KNZ-001d,1992,532.275,886
KNZ-001d,1993,654.725,1228
KNZ-001d,1994,451.8525,636
KNZ-001d,1995,622.345,942
KNZ-001d,1996,510.035,684
KNZ-001d,1997,348.26,625
KNZ-001d,1998,521.825,944
KNZ-001d,1999,482.2125,825
KNZ-001d,2000,481.73,627
KNZ-001d,2001,448.1275,892
KNZ-001d,2002,440.455,705
KNZ-001d,2003,402.8825,723
KNZ-001d,2004,546.4725,997
KNZ-001d,2005,380.875,952
KNZ-001d,2006,410.0725,661
KNZ-001d,2007,534.9775,1012
KNZ-001d,2008,604.7025,1153
KNZ-001d,2009,625.7425,987
KNZ-001d,2010,646.385,843
KNZ-001d,2011,571.8375,814
KNZ-001d,2012,336.25,569
KNZ-001d,2013,573.4025,783.4
KNZ-001d,2014,437.25,NA
