site,year,npp,ppt
KNZ-020b,1984,322.8025,942
KNZ-020b,1985,334.715,901
KNZ-020b,1986,355.36,912
KNZ-020b,1987,392.8425,821
KNZ-020b,1988,397.46,481
KNZ-020b,1989,264.1325,542
KNZ-020b,1990,400.005,570
KNZ-020b,1991,557.6875,569
KNZ-020b,1992,514.7,886
KNZ-020b,1993,472.1,1228
KNZ-020b,1994,338.6725,636
KNZ-020b,1995,443.82,942
KNZ-020b,1996,343.96,684
KNZ-020b,1997,303.9525,625
KNZ-020b,1998,447.6975,944
KNZ-020b,1999,475.5525,825
KNZ-020b,2000,364.5025,627
KNZ-020b,2001,343.0725,892
KNZ-020b,2002,343.6675,705
KNZ-020b,2003,352.0825,723
KNZ-020b,2004,713.7125,997
KNZ-020b,2005,355.8025,952
KNZ-020b,2006,343.0225,661
KNZ-020b,2007,397.8825,1012
KNZ-020b,2008,566.175,1153
KNZ-020b,2009,468.795,987
KNZ-020b,2010,387.1075,843
KNZ-020b,2011,521.45,814
KNZ-020b,2012,245.1275,569
KNZ-020b,2013,684.68,783.4
KNZ-020b,2014,563.75,NA
