site,year,npp,ppt
SGS_forage,1941,74,325
SGS_forage,1942,123,371
SGS_forage,1943,123,490
SGS_forage,1944,75,205
SGS_forage,1945,66,288
SGS_forage,1946,67,296
SGS_forage,1947,96,338
SGS_forage,1948,50,193
SGS_forage,1949,82,341
SGS_forage,1950,54,299
SGS_forage,1951,70,330
SGS_forage,1952,95,353
SGS_forage,1953,73,301
SGS_forage,1954,22,122
SGS_forage,1955,32,328
SGS_forage,1956,50,244
SGS_forage,1957,64,415
SGS_forage,1958,77,331
SGS_forage,1959,83,307
SGS_forage,1960,57,175
SGS_forage,1961,76,404
SGS_forage,1962,81,399
SGS_forage,1963,80,338
SGS_forage,1964,25,107
SGS_forage,1965,48,371
SGS_forage,1966,49,292
SGS_forage,1967,90,588
SGS_forage,1968,77,333
SGS_forage,1969,86,417
SGS_forage,1970,72,242
SGS_forage,1971,73,262
SGS_forage,1972,24,374
SGS_forage,1973,68,275
SGS_forage,1974,22,268
SGS_forage,1975,63,324
SGS_forage,1976,44,261
SGS_forage,1977,27,248
SGS_forage,1978,37,292
SGS_forage,1979,88,494
