site,year,npp,ppt
ALB,1947,34.3,246
ALB,1948,21.3,252
ALB,1949,10.1,284
ALB,1950,30.3,283
ALB,1951,47.1,459
ALB,1952,46,281
ALB,1953,54.7,305
ALB,1954,56.7,428
ALB,1955,69.5,408
ALB,1956,54.9,365
ALB,1957,42.6,350
ALB,1958,41.9,334
ALB,1959,27.6,306
ALB,1960,27,285
ALB,1961,9.6,215
ALB,1962,21.4,287
ALB,1963,26.7,266
ALB,1964,27.9,384
ALB,1965,73.6,600
ALB,1966,55.8,345
ALB,1967,51.8,430
ALB,1968,51.9,320
ALB,1969,30.8,243
ALB,1970,35.9,352
ALB,1971,35.4,316
ALB,1972,29.6,334
ALB,1973,18.8,219
ALB,1974,47.6,385
ALB,1975,59.3,572
ALB,1976,43.9,300
ALB,1977,25.7,286
ALB,1978,70.7,513
ALB,1979,55.8,342
ALB,1980,22.2,333
ALB,1981,36.2,311
ALB,1982,43.7,459
ALB,1983,32.6,290
