site,year,npp,ppt
krs,1954,403,419.5
krs,1955,390,769.2
krs,1956,244,431.8
krs,1957,337,566.8
krs,1958,313,575.2
krs,1959,292,703.9
krs,1960,306,435.9
krs,1961,510,609.8
krs,1962,311,503.6
krs,1963,202,725.7
krs,1964,270,650.9
krs,1965,240,538.8
krs,1966,403,443
krs,1967,351,565.4
krs,1968,227,523.4
krs,1969,363,597.4
krs,1970,249,651.1
krs,1971,369,487.9
krs,1972,341,569.8
krs,1973,512,666.6
krs,1974,523,515.8
krs,1975,336,489.9
krs,1976,261,557.8
krs,1977,406,718.3
krs,1978,406,645
krs,1979,236,652.4
krs,1980,392,682.8
krs,1981,424,706
krs,1982,404,661
krs,1983,615,506
