site,year,npp,ppt
pat_over,1989,308.1,353
pat_over,1990,255.4,392
pat_over,1991,269.7,326
pat_over,1992,224.1,265
pat_over,1993,298.7,679
pat_over,1994,301.0,567
pat_over,1995,319.3,494
pat_over,1996,275.5,420
pat_over,1997,316.1,567
pat_over,1998,289.0,460
pat_over,1999,300.2,639
pat_over,2000,345.6,377
pat_over,2001,363.9,348
pat_over,2002,256.4,162
pat_over,2003,338.3,359
pat_over,2004,387.1,503
pat_over,2005,372.1,433
pat_over,2006,321.8,169
pat_over,2007,337.4,548
pat_over,2008,313.8,320
pat_over,2009,396.9,344
