site,year,npp,ppt
pat_silty,1989,202.5,353
pat_silty,1990,289.3,392
pat_silty,1991,290.8,326
pat_silty,1992,247.6,265
pat_silty,1993,388.7,679
pat_silty,1994,236.1,567
pat_silty,1995,282.6,494
pat_silty,1996,295.0,420
pat_silty,1997,273.1,567
pat_silty,1998,384.0,460
pat_silty,1999,327.0,639
pat_silty,2000,255.4,377
pat_silty,2001,244.7,348
pat_silty,2002,186.1,162
pat_silty,2003,287.7,359
pat_silty,2004,253.9,503
pat_silty,2005,359.8,433
pat_silty,2006,194.3,169
pat_silty,2007,272.2,548
pat_silty,2008,345.8,320
pat_silty,2009,330.1,344
