year	site	block	plot	sr	fr	fgc	mix.nest	mix	grass	forb	legume	funct	GRASS	FORB	LEG	species	level	biomass
1	Germany	A	B1P030	1	1	1	1	1	Yes	No	No	NA	NA	NA	NA	NA	Community	264.7
1	Germany	B	B1P039	1	1	1	1	1	Yes	No	No	NA	NA	NA	NA	NA	Community	265
1	Germany	A	B1P032	1	1	1	2	2	Yes	No	No	NA	NA	NA	NA	NA	Community	446
1	Germany	B	B1P042	1	1	1	2	2	Yes	No	No	NA	NA	NA	NA	NA	Community	574.5
1	Germany	A	B1P021	1	1	1	3	3	Yes	No	No	NA	NA	NA	NA	NA	Community	243.3
1	Germany	B	B1P058	1	1	1	3	3	Yes	No	No	NA	NA	NA	NA	NA	Community	534.7
1	Germany	A	B1P007	1	1	1	4	4	Yes	No	No	NA	NA	NA	NA	NA	Community	442.4
1	Germany	B	B1P052	1	1	1	4	4	Yes	No	No	NA	NA	NA	NA	NA	Community	438.8
1	Germany	A	B1P001	1	1	1	5	5	Yes	No	No	NA	NA	NA	NA	NA	Community	528
1	Germany	B	B1P063	1	1	1	5	5	Yes	No	No	NA	NA	NA	NA	NA	Community	377
1	Germany	A	B1P018	1	1	3	6	6	No	No	Yes	NA	NA	NA	NA	NA	Community	245.1
1	Germany	B	B1P048	1	1	3	6	6	No	No	Yes	NA	NA	NA	NA	NA	Community	589.3
1	Germany	A	B1P004	1	1	3	7	7	No	No	Yes	NA	NA	NA	NA	NA	Community	233.7
1	Germany	B	B1P033	1	1	3	7	7	No	No	Yes	NA	NA	NA	NA	NA	Community	284.1
1	Germany	A	B1P006	1	1	2	8	8	No	Yes	No	NA	NA	NA	NA	NA	Community	209.7
1	Germany	B	B1P047	1	1	2	8	8	No	Yes	No	NA	NA	NA	NA	NA	Community	306.8
1	Germany	A	B1P024	1	1	2	9	9	No	Yes	No	NA	NA	NA	NA	NA	Community	619.5
1	Germany	B	B1P043	1	1	2	9	9	No	Yes	No	NA	NA	NA	NA	NA	Community	572.9
1	Germany	A	B1P020	1	1	2	10	10	No	Yes	No	NA	NA	NA	NA	NA	Community	156.2
1	Germany	B	B1P053	1	1	2	10	10	No	Yes	No	NA	NA	NA	NA	NA	Community	155.9
1	Germany	A	B1P019	2	1	1	11	11	Yes	No	No	NA	NA	NA	NA	NA	Community	440.3
1	Germany	B	B1P046	2	1	1	11	11	Yes	No	No	NA	NA	NA	NA	NA	Community	759.9
1	Germany	A	B1P027	2	1	1	12	12	Yes	No	No	NA	NA	NA	NA	NA	Community	563.5
1	Germany	B	B1P054	2	1	1	12	12	Yes	No	No	NA	NA	NA	NA	NA	Community	540.3
1	Germany	A	B1P008	2	2	5	13	13	Yes	No	Yes	NA	NA	NA	NA	NA	Community	402.7
1	Germany	B	B1P034	2	2	5	13	13	Yes	No	Yes	NA	NA	NA	NA	NA	Community	238.8
1	Germany	A	B1P025	2	2	5	14	14	Yes	No	Yes	NA	NA	NA	NA	NA	Community	312.5
1	Germany	B	B1P060	2	2	5	14	14	Yes	No	Yes	NA	NA	NA	NA	NA	Community	559.4
1	Germany	A	B1P003	2	2	4	15	15	Yes	Yes	No	NA	NA	NA	NA	NA	Community	431.8
