speciescode	genus	species
G1ALOPRA1	Alopecurus	pratensis
G1ANTODO1	Anthoxanthum	odoratum
G1ARRELA1	Arrhenatherum	elatius
G1BROHOR1	Bromus	hordeaceushordeaceus
G1CYNCRI1	Cynosurus	cristatus
G1DACGLO1	Dactylis	glomerata
G1FESPRA1	Festuca	pratensis
G1FESRUB1	Festuca	rubra
G1HOLLAN1	Holcus	lanatus
G1LOLPER1	Lolium	perenne
G1PHLPRA1	Phleum	pratense
G2AVESAT1	Avena	sativa
G2DACGLO1	Dactylis	glomerata
G2HOLLAN1	Holcus	lanatus
G2LOLMUL1	Lolium	multiflorum
G2PHABRA1	Phalaris	brachystachys
G3AGRCAP1	Agrostis	capillaris
G3AGRREP1	Agropyron	repens
G3AGRSTO1	Agrostis	stolonifera
G3ALOPRA1	Alopecurus	pratensis
G3ANTODO1	Anthoxanthum	odoratum
G3ARRELA1	Arrhenatherum	elatius
G3CYNCRI1	Cynosurus	cristatus
G3DACGLO1	Dactylis	glomerata
G3FESOVI1	Festuca	ovina
G3FESPRA1	Festuca	pratensis
G3FESRUB1	Festuca	rubra
G3HOLLAN1	Holcus	lanatus
G3LOLPER1	Lolium	perenne
G3PHLPRA1	Phleum	pratense
G3POAPRA1	Poa	pratensis
G3TRIFLA1	Trisetum	flavescens
G4AVEBAR1	Avena	barbata
G4BROINT1	Bromus	intermedius
G4HORBUL1	Hordeum	bulbosum
G4HORGEN1	Hordeum	geniculatum
G4PHACOE1	Phalaris	coerulescens
G5AGRCAP1	Agrostis	capillaris
G5ALOPRA1	Alopecurus	pratensis
G5ANTODO1	Anthoxanthum	odoratum
G5HOLLAN1	Holcus	lanatus
G6DACGLO1	Dactylis	glomerata
G6FESOVI1	Festuca	ovina
G6PHAARU1	Phalaris	arundinacea
G6PHLPRA1	Phleum	pratense
G7AGRCAP1	Agrostis	capillaris
G7ALOPRA1	Alopecurus	pratensis
G7ANTODO1	Anthoxanthum	odoratum
G7FESOVI1	Festuca	ovina
G8AGRCAP1	Agrostis	capillaris
G8ALOPRA1	Alopecurus	pratensis
G8ANTODO1	Anthoxanthum	odoratum
G8ARRELA1	Arrhenatherum	elatius
G8CYNCRI1	Cynosurus	cristatus
G8DACGLO1	Dactylis	glomerata
G8FESRUB1	Festuca	rubra
G8HOLLAN1	Holcus	lanatus
G8LUZCAM1	Luzula	campestris
G8PHLPRA1	Phleum	pratense
G8TRIFLA1	Trisetum	flavescens
H1ACHMIL1	Achillea	millefolium
H1CAMPAT1	Campanula	patula
H1CENJAC1	Centaurea	jacea
H1CREBIE1	Crepis	biennis
H1GERPRA1	Geranium	pratense
H1KNAARV1	Knautia	arvensis
H1LEOAUT1	Leontodon	autumnalis
H1LEUVUL1	Leucanthemum	vulgare
H1LYCFLO1	Lychnis	flos-cuculi
H1PIMMAJ1	Pimpinella	major
H1PLALAN1	Plantago	lanceolata
H1RANACR1	Ranunculus	acris
H1RUMACE1	Rumex	acetosa
H1TAROFF1	Taraxacum	officinale
H2CONFLO1	Conyza	floribunda
H2MISORO1	Misopates	orontium
H2PLALAN1	Plantago	lanceolata
H2RUMPUL1	Rumex	pulcher
H2SILGAL1	Silene	gallica
H2TORARV1	Torilis	arvensis
H3ACHMIL1	Achillea	millefolium
H3AJUREP1	Ajuga	reptans
H3ANTSYL1	Anthriscus	sylvestris
H3BELPER1	Bellis	perennis
H3CAMPAT1	Campanula	patula
H3CENJAC1	Centaurea	jacea
H3CENSCA1	Centaurea	scabiosa
H3CREBIE1	Crepis	biennis
H3DAUCAR1	Daucus	carota
H3GALVER1	Galium	verum
H3GERPRA1	Geranium	pratense
H3HERSPH1	Heracleum	sphondylium
H3KNAARV1	Knautia	arvensis
H3LEUVUL1	Leucanthemum	vulgare
H3PIMMAJ1	Pimpinella	major
H3PLALAN1	Plantago	lanceolata
H3POTERE1	Potentilla	erecta
H3PRUVUL1	Prunella	vulgaris
H3RANACR1	Ranunculus	acris
H3SALPRA1	Salvia	pratensis
H3SANOFF1	Sanguisorba	officinalis
H3SCACOL1	Scabiosa	columbaria
