abbrevation	genus	species
ACHMIL	Achillea	millefolium
AGRREP	Agropyron	repens
AGRCAP	Agrostis	capillaris
AGRSTO	Agrostis	stolonifera
AJUREP	Ajuga	reptans
ALOPRA	Alopecurus	pratensis
ANTCOT	Anthemis	cotula
ANTODO	Anthoxanthum	odoratum
ANTSYL	Anthriscus	sylvestris
ANTVUL	Anthyllis	vulneraria
ARRELA	Arrhenatherum	elatius
AVEBAR	Avena	barbata
AVESAT	Avena	sativa
BELTRI	Bellevalia	trifoliata
BELPER	Bellis	perennis
BROHOR	Bromus	hordeaceushordeaceus
BROINT	Bromus	intermedius
CAMPAT	Campanula	patula
CATLUT	Catananche	lutea
CENJAC	Centaurea	jacea
CENNIG	Centaurea	nigra
CENSCA	Centaurea	scabiosa
CERFON	Cerastium	fontanum
CONFLO	Conyza	floribunda
CREBIE	Crepis	biennis
CRECAP	Crepis	capillaris
CREFOE	Crepis	foetida
CYNCRI	Cynosurus	cristatus
DACGLO	Dactylis	glomerata
DAUCAR	Daucus	carota
FESOVI	Festuca	ovina
FESPRA	Festuca	pratensis
FESRUB	Festuca	rubra
GALVER	Galium	verum
GERPRA	Geranium	pratense
GLAITA	Gladiolus	italicus
HERSPH	Heracleum	sphondylium
HIRINC	Hirschfeldia	incana
HOLLAN	Holcus	lanatus
HORBUL	Hordeum	bulbosum
HORGEN	Hordeum	geniculatum
HYPRAD	Hypochoeris	radicata
KNAARV	Knautia	arvensis
LAGCUM	Lagoecia	cuminoides
LATPRA	Lathyrus	pratensis
LEOAUT	Leontodon	autumnalis
LEOHIS	Leontodon	hispidus
LEUVUL	Leucanthemum	vulgare
LOLMUL	Lolium	multiflorum
LOLPER	Lolium	perenne
LOTCOR	Lotus	corniculatus
LOTPED	Lotus	pedunculatus
LUZCAM	Luzula	campestris
LYCFLO	Lychnis	flos-cuculi
MALSYL	Malva	sylvestris
MEDLUP	Medicago	lupulina
MEDSAT	Medicago	sativa
MISORO	Misopates	orontium
ONOVIC	Onobrychis	viciifolia
ORIVUL	Origanum	vulgare
ORNCOM	Ornithopus	compressus
PHAARU	Phalaris	arundinacea
PHABRA	Phalaris	brachystachys
PHACOE	Phalaris	coerulescens
PHLPRA	Phleum	pratense
PICECH	Picris	echioides
PILOFF	Pilosella	officinarum
PIMMAJ	Pimpinella	major
PLALAG	Plantago	lagopus
PLALAN	Plantago	lanceolata
POAPRA	Poa	pratensis
POTERE	Potentilla	erecta
PRUVUL	Prunella	vulgaris
PSOBIT	Psoralea	bituminosa
RANACR	Ranunculus	acris
RANREP	Ranunculus	repens
RUMACE	Rumex	acetosa
RUMPUL	Rumex	pulcher
SALPRA	Salvia	pratensis
SANOFF	Sanguisorba	officinalis
SCACOL	Scabiosa	columbaria
SCOMUR	Scorpiurus	muricatus
SECPAR	Securigera	parviflora
SILGAL	Silene	gallica
SILVUL	Silene	vulgaris
STASYL	Stachys	sylvatica
STEGRA	Stellaria	graminea
TAROFF	Taraxacum	officinale
TETPUR	Tetragonolobus	purpureus
TORARV	Torilis	arvensis
TRAHYB	Tragopogon	hybridus
TRIHYB	Trifolium	hybridum
TRILAP	Trifolium	lappaceum
TRIPRA	Trifolium	pratense
TRIREP	Trifolium	repens
TRISUB	Trifolium	subterraneum
TRIFLA	Trisetum	flavescens
VERCHA	Veronica	chamaedrys
VICCRA	Vicia	cracca
VICHIR	Vicia	hirsuta
VICSAT	Vicia	sativa
VICSEP	Vicia	sepium
VICTET	Vicia	tetrasperma
