site	mix.nest	tempCV	meanDbar
Germany	15	19.7	0.25
Germany	16	47.3	0.27
Germany	13	36.1	1.17
Germany	20	10.6	0.11
Germany	11	28.4	-0.11
Germany	14	63.7	0.15
Germany	12	29.5	-0.12
Germany	19	32.1	0.52
Germany	13	62.0	1.63
Germany	15	16.2	0.10
Germany	20	21.9	-0.15
Germany	11	50.5	0.06
Germany	16	30.5	-0.07
Germany	12	32.0	-0.14
Germany	19	2.3	0.49
Germany	14	61.9	0.36
Portugal	54	72.0	1.58
Portugal	48	81.0	0.24
Portugal	55	39.9	3.40
Portugal	52	87.7	2.03
Portugal	52	92.2	2.51
Portugal	48	96.9	0.84
Portugal	57	80.8	1.97
Portugal	53	69.0	0.56
Portugal	46	108.4	0.05
Portugal	51	39.7	3.32
Portugal	50	94.3	-0.13
Portugal	46	117.1	-0.26
Portugal	54	90.5	3.68
Portugal	47	52.7	0.80
Portugal	57	89.1	1.07
Portugal	47	69.3	0.42
Portugal	51	91.9	1.11
Portugal	53	114.7	0.60
Portugal	45	61.3	1.04
Portugal	45	30.2	1.28
Portugal	49	135.0	2.81
Portugal	50	83.8	-0.29
Portugal	56	72.1	1.80
Portugal	55	75.7	0.54
Portugal	49	114.8	0.97
Portugal	57	82.3	3.52
Portugal	57	70.9	3.14
Portugal	56	78.7	1.05
Switzerland	70	43.8	1.39
Switzerland	71	62.2	0.41
Switzerland	72	21.8	0.69
Switzerland	75	25.8	-0.40
Switzerland	78	16.5	0.23
Switzerland	80	42.6	0.47
Switzerland	83	35.4	-0.01
Switzerland	70	36.4	4.04
Switzerland	72	40.7	0.09
Switzerland	75	8.4	-0.10
Switzerland	71	60.1	0.18
Switzerland	78	18.8	-0.14
Switzerland	83	30.7	0.09
Switzerland	80	1.7	1.10
Greece	101	153.4	-0.41
Greece	99	97.0	0.42
Greece	102	93.9	-0.08
Greece	102	117.6	-0.45
Greece	99	90.9	0.53
Greece	101	99.8	-0.42
Ireland	129	62.9	0.03
Ireland	139	42.4	0.09
Ireland	143	13.5	1.15
Ireland	130	41.3	0.12
Ireland	147	23.1	0.32
Ireland	132	101.8	0.29
Ireland	142	44.4	0.00
Ireland	136	23.5	0.16
Ireland	128	34.3	0.09
Ireland	131	31.2	0.17
Ireland	138	37.8	0.28
Ireland	144	77.4	0.04
Ireland	126	21.3	0.05
Ireland	133	8.6	0.38
Ireland	145	42.8	-0.18
Ireland	147	23.6	0.46
Ireland	146	25.4	0.21
Ireland	140	40.9	-0.23
Ireland	127	27.3	0.03
Ireland	137	22.8	0.05
Ireland	141	10.1	-0.13
Ireland	135	21.2	0.79
Ireland	136	30.1	0.05
Ireland	137	39.9	-0.20
Ireland	147	71.4	-0.35
Ireland	144	40.2	0.65
Ireland	143	23.4	0.87
Ireland	126	28.5	0.22
Ireland	131	13.4	0.37
Ireland	135	22.9	0.64
Ireland	146	40.0	-0.15
Ireland	145	34.5	-0.05
Ireland	132	42.6	0.28
Ireland	141	48.1	-0.10
Ireland	139	22.9	0.16
Ireland	147	40.5	-0.01
Ireland	142	97.7	0.34
Ireland	130	45.8	0.43
Ireland	133	33.8	0.21
Ireland	140	68.5	0.07
Ireland	128	29.6	-0.19
Ireland	136	14.7	0.16
Ireland	127	37.5	0.06
Ireland	136	17.7	-0.12
Ireland	129	62.8	0.03
Ireland	138	112.5	-0.08
Sweden	170	93.9	-0.01
Sweden	176	106.1	1.82
Sweden	176	83.1	1.53
Sweden	161	90.1	0.60
Sweden	170	48.6	0.35
Sweden	165	99.5	2.83
Sweden	175	135.9	0.44
Sweden	173	113.1	1.41
Sweden	166	88.0	-0.38
Sweden	169	8.5	0.71
Sweden	176	79.1	1.66
Sweden	175	136.6	0.01
Sweden	173	143.7	-0.35
Sweden	172	111.0	3.30
Sweden	168	87.1	0.07
Sweden	163	63.7	0.33
Sweden	162	84.2	0.12
Sweden	168	91.4	0.55
Sweden	162	64.0	1.10
Sweden	164	148.3	0.33
Sweden	172	87.0	1.98
Sweden	169	70.5	2.44
Sweden	171	72.8	13.25
Sweden	165	74.3	17.91
Sweden	174	85.5	0.10
Sweden	164	109.4	-0.14
Sweden	161	78.1	-0.34
Sweden	163	122.0	-0.11
Sweden	176	22.9	0.62
Sweden	171	75.8	3.26
Sweden	166	105.1	-0.26
Sweden	167	71.0	1.12
Sweden	174	68.5	2.57
Sweden	167	81.0	-0.19
Sheffield	192	61.0	0.39
Sheffield	201	71.1	0.51
Sheffield	190	73.6	0.12
Sheffield	189	82.5	0.11
Sheffield	197	67.5	0.33
Sheffield	194	74.0	0.36
Sheffield	202	80.3	1.93
Sheffield	193	63.1	-0.12
Sheffield	196	87.0	1.18
Sheffield	199	70.1	4.89
Sheffield	198	71.6	3.13
Sheffield	202	77.2	2.26
Sheffield	195	73.4	4.05
Sheffield	200	69.8	2.18
Sheffield	191	71.9	0.36
Sheffield	200	71.5	0.60
Sheffield	193	63.1	-0.01
Sheffield	196	91.0	0.38
Sheffield	191	75.0	0.40
Sheffield	202	80.3	1.00
Sheffield	194	71.9	0.30
Sheffield	197	70.6	0.45
Sheffield	202	77.9	0.64
Sheffield	198	69.2	1.02
Sheffield	195	77.3	0.93
Sheffield	201	72.3	0.50
Sheffield	189	81.2	0.15
Sheffield	190	71.0	0.15
Sheffield	199	72.7	0.93
Sheffield	192	46.7	0.42
Silwood	222	22.7	0.37
Silwood	224	34.1	0.68
Silwood	223	31.1	0.28
Silwood	216	44.4	0.47
Silwood	220	36.4	0.13
Silwood	218	32.1	0.17
Silwood	225	22.6	0.49
Silwood	208	28.6	0.81
Silwood	217	24.6	1.31
Silwood	215	19.0	-0.02
Silwood	234	35.6	0.44
Silwood	227	47.6	0.77
Silwood	229	49.3	0.92
Silwood	219	54.4	0.57
