site	plot	sr	fr	type	rank	biomass
Germany	B1P002	16	3	EXP	8	1.4
Germany	B1P002	16	3	EXP	2	524.2
Germany	B1P002	16	3	EXP	3	224.4
Germany	B1P002	16	3	EXP	7	5.3
Germany	B1P002	16	3	EXP	4	61.4
Germany	B1P002	16	3	EXP	5	27.2
Germany	B1P002	16	3	EXP	6	10.5
Germany	B1P002	16	3	EXP	1	724
Germany	B1P011	16	3	EXP	9	13.1
Germany	B1P011	16	3	EXP	11	0.1
Germany	B1P011	16	3	EXP	1	734.4
Germany	B1P011	16	3	EXP	10	0.9
Germany	B1P011	16	3	EXP	5	50.9
Germany	B1P011	16	3	EXP	6	33.67
Germany	B1P011	16	3	EXP	3	148.2
Germany	B1P011	16	3	EXP	8	17.4
Germany	B1P011	16	3	EXP	7	19.5
Germany	B1P011	16	3	EXP	2	398.4
Germany	B1P011	16	3	EXP	4	135.8
Germany	B1P028	16	3	EXP	10	2.6
Germany	B1P028	16	3	EXP	8	7.6
Germany	B1P028	16	3	EXP	12	0.2
Germany	B1P028	16	3	EXP	1	288
Germany	B1P028	16	3	EXP	2	133
Germany	B1P028	16	3	EXP	11	2
Germany	B1P028	16	3	EXP	5	38.8
Germany	B1P028	16	3	EXP	4	54
Germany	B1P028	16	3	EXP	6	22.9
Germany	B1P028	16	3	EXP	9	6.1
Germany	B1P028	16	3	EXP	3	88.3
Germany	B1P028	16	3	EXP	7	16.9
Germany	B1P038	16	3	EXP	8	5.8
Germany	B1P038	16	3	EXP	2	181.5
Germany	B1P038	16	3	EXP	10	2
Germany	B1P038	16	3	EXP	11	1.6
Germany	B1P038	16	3	EXP	12	1.2
Germany	B1P038	16	3	EXP	6	48.7
Germany	B1P038	16	3	EXP	3	144.5
Germany	B1P038	16	3	EXP	9	4.6
Germany	B1P038	16	3	EXP	5	62.2
Germany	B1P038	16	3	EXP	1	696.6
Germany	B1P038	16	3	EXP	7	23.1
Germany	B1P038	16	3	EXP	4	97.2
Germany	B1P051	16	3	EXP	5	13.2
Germany	B1P051	16	3	EXP	1	513
Germany	B1P051	16	3	EXP	8	1.1
Germany	B1P051	16	3	EXP	10	0.1
Germany	B1P051	16	3	EXP	4	200.5
Germany	B1P051	16	3	EXP	7	6.1
Germany	B1P051	16	3	EXP	6	9.6
Germany	B1P051	16	3	EXP	9	0.6
Germany	B1P051	16	3	EXP	2	218.8
Germany	B1P051	16	3	EXP	3	207.6
Germany	B1P056	16	3	EXP	10	4.1
Germany	B1P056	16	3	EXP	2	444.2
Germany	B1P056	16	3	EXP	3	142.2
Germany	B1P056	16	3	EXP	4	41.4
Germany	B1P056	16	3	EXP	9	11.1
Germany	B1P056	16	3	EXP	7	17.3
Germany	B1P056	16	3	EXP	6	34.1
Germany	B1P056	16	3	EXP	5	34.6
Germany	B1P056	16	3	EXP	12	0.7
Germany	B1P056	16	3	EXP	11	1.2
Germany	B1P056	16	3	EXP	13	0.6
Germany	B1P056	16	3	EXP	1	760
Germany	B1P056	16	3	EXP	8	13.1
Germany	B1P065	NA	NA	REF	4	22.2
Germany	B1P065	NA	NA	REF	11	0.7
Germany	B1P065	NA	NA	REF	1	69.1
Germany	B1P065	NA	NA	REF	3	25.8
Germany	B1P065	NA	NA	REF	6	13.3
Germany	B1P065	NA	NA	REF	12	0.47
Germany	B1P065	NA	NA	REF	13	0.23
Germany	B1P065	NA	NA	REF	10	1
Germany	B1P065	NA	NA	REF	5	14
Germany	B1P065	NA	NA	REF	7	7.3
Germany	B1P065	NA	NA	REF	2	61.1
Germany	B1P065	NA	NA	REF	9	1.4
Germany	B1P065	NA	NA	REF	8	2.1
Germany	B1P066	NA	NA	REF	11	7.6
Germany	B1P066	NA	NA	REF	1	43.7
Germany	B1P066	NA	NA	REF	10	10
Germany	B1P066	NA	NA	REF	13	3.6
Germany	B1P066	NA	NA	REF	3	25.5
Germany	B1P066	NA	NA	REF	5	21.6
Germany	B1P066	NA	NA	REF	7	15.7
Germany	B1P066	NA	NA	REF	14	2.7
Germany	B1P066	NA	NA	REF	2	42
Germany	B1P066	NA	NA	REF	8	11.5
Germany	B1P066	NA	NA	REF	9	10.2
Germany	B1P066	NA	NA	REF	4	22.2
Germany	B1P066	NA	NA	REF	6	16.1
Germany	B1P066	NA	NA	REF	12	4.3
Germany	B1P074	NA	NA	REF	8	18
Germany	B1P074	NA	NA	REF	3	28.5
Germany	B1P074	NA	NA	REF	12	4.2
Germany	B1P074	NA	NA	REF	13	2.4
Germany	B1P074	NA	NA	REF	5	23.8
Germany	B1P074	NA	NA	REF	10	9.7
Germany	B1P074	NA	NA	REF	7	19.9
Germany	B1P074	NA	NA	REF	2	42.1
Germany	B1P074	NA	NA	REF	6	21.4
Germany	B1P074	NA	NA	REF	1	54.6
Germany	B1P074	NA	NA	REF	11	8.6
Germany	B1P074	NA	NA	REF	4	24
Germany	B1P074	NA	NA	REF	9	11.5
Germany	B1P080	NA	NA	REF	1	149.5
Germany	B1P080	NA	NA	REF	6	7.2
