year	site	sr	mix.nest	level	spatialCV
1	Germany	1	1	Community	0.1
1	Germany	1	2	Community	17.8
1	Germany	1	3	Community	53.0
1	Germany	1	4	Community	0.6
1	Germany	1	5	Community	23.6
1	Germany	1	6	Community	58.3
1	Germany	1	7	Community	13.8
1	Germany	1	8	Community	26.6
1	Germany	1	9	Community	5.5
1	Germany	1	10	Community	0.1
1	Germany	2	11	Community	37.7
1	Germany	2	12	Community	3.0
1	Germany	2	13	Community	36.1
1	Germany	2	14	Community	40.0
1	Germany	2	15	Community	11.1
1	Germany	2	16	Community	32.0
1	Germany	2	17	Community	42.1
1	Germany	4	18	Community	38.8
1	Germany	4	19	Community	29.0
1	Germany	4	20	Community	13.8
1	Germany	4	21	Community	55.4
1	Germany	4	22	Community	17.4
1	Germany	8	23	Community	52.2
1	Germany	8	24	Community	17.4
1	Germany	8	25	Community	10.2
1	Germany	8	26	Community	51.5
1	Germany	8	27	Community	38.9
1	Germany	16	28	Community	63.4
1	Germany	16	29	Community	30.3
1	Germany	16	30	Community	30.6
1	Portugal	1	31	Community	39.9
1	Portugal	1	32	Community	52.7
1	Portugal	1	33	Community	54.8
1	Portugal	1	34	Community	70.3
1	Portugal	1	35	Community	1.2
1	Portugal	1	36	Community	15.9
1	Portugal	1	37	Community	12.5
1	Portugal	1	38	Community	39.0
1	Portugal	1	39	Community	109.4
1	Portugal	1	40	Community	59.5
1	Portugal	1	41	Community	47.1
1	Portugal	1	42	Community	11.0
1	Portugal	1	43	Community	29.5
1	Portugal	1	44	Community	22.9
1	Portugal	2	45	Community	38.0
1	Portugal	2	46	Community	5.2
1	Portugal	2	47	Community	0.9
1	Portugal	2	48	Community	10.0
1	Portugal	2	49	Community	51.3
1	Portugal	4	50	Community	20.2
1	Portugal	4	51	Community	71.4
1	Portugal	4	52	Community	1.5
1	Portugal	4	53	Community	9.6
1	Portugal	4	54	Community	26.7
1	Portugal	8	55	Community	12.7
1	Portugal	8	56	Community	11.5
1	Portugal	14	57	Community	19.5
1	Switzerland	1	58	Community	23.2
1	Switzerland	1	59	Community	60.7
1	Switzerland	1	60	Community	35.1
1	Switzerland	1	61	Community	1.9
1	Switzerland	1	62	Community	16.5
1	Switzerland	1	63	Community	32.6
1	Switzerland	4	64	Community	1.8
1	Switzerland	4	65	Community	21.4
1	Switzerland	4	66	Community	16.5
1	Switzerland	8	67	Community	7.8
1	Switzerland	4	68	Community	21.9
1	Switzerland	8	69	Community	20.1
1	Switzerland	2	70	Community	35.8
1	Switzerland	2	71	Community	13.3
1	Switzerland	2	72	Community	36.4
1	Switzerland	4	73	Community	11.8
