site	mix.nest	Corr	CV
Germany	15	0.90	19.7
Germany	16	-0.95	47.3
Germany	13	-0.89	36.2
Germany	17	-0.85	28.4
Germany	11	-0.96	28.4
Germany	14	-0.13	63.8
Germany	12	-0.21	29.5
Germany	13	-0.76	62.1
Germany	15	-0.58	16.2
Germany	11	-0.62	50.5
Germany	16	-0.99	30.5
Germany	12	0.98	32.0
Germany	14	-0.72	61.9
Germany	17	-0.87	66.0
Portugal	48	-0.07	81.0
Portugal	48	-0.15	96.9
Portugal	46	0.91	108.4
Portugal	46	0.99	117.1
Portugal	47	-1.00	52.7
Portugal	47	-0.62	69.3
Portugal	45	-0.01	61.3
Portugal	45	-0.31	30.2
Portugal	49	1.00	135.0
Portugal	49	0.97	114.8
Switzerland	70	0.96	43.8
Switzerland	71	-0.95	62.2
Switzerland	72	-0.97	21.8
Switzerland	75	-0.17	25.8
Switzerland	78	-0.89	16.5
Switzerland	80	-0.57	42.6
Switzerland	83	-0.93	35.4
Switzerland	70	0.71	36.4
Switzerland	72	-0.68	40.7
Switzerland	75	-0.87	8.4
Switzerland	71	0.99	60.1
Switzerland	78	-0.89	18.8
Switzerland	83	-0.65	30.7
Switzerland	80	-0.94	1.7
Greece	101	0.59	153.4
Greece	97	0.25	86.7
Greece	99	0.73	97.0
Greece	102	-0.07	93.9
Greece	100	0.23	132.9
Greece	98	0.60	87.6
Greece	98	0.97	115.3
Greece	97	-0.26	92.5
Greece	102	0.93	117.6
Greece	99	0.16	90.9
Greece	101	0.84	99.8
Greece	100	-0.15	109.5
Ireland	129	0.49	62.9
Ireland	130	0.71	41.3
Ireland	132	0.90	101.8
Ireland	128	0.53	34.3
Ireland	131	-0.99	31.2
Ireland	126	-0.74	21.3
Ireland	133	-0.89	8.6
Ireland	127	0.70	27.3
Ireland	126	-0.51	28.5
Ireland	131	-0.98	13.4
Ireland	132	0.76	42.6
Ireland	130	-0.90	45.8
Ireland	133	-0.57	33.8
Ireland	128	0.52	29.6
Ireland	127	0.81	37.5
Ireland	129	-0.54	62.8
Sweden	161	-0.96	90.1
Sweden	165	-0.32	99.5
Sweden	166	0.77	88.1
Sweden	163	-0.92	63.7
Sweden	162	-0.73	84.2
Sweden	162	1.00	64.0
Sweden	164	0.94	148.3
Sweden	165	-0.95	74.3
Sweden	164	0.86	109.4
Sweden	161	-0.07	78.1
Sweden	163	-0.61	122.0
Sweden	166	-0.25	105.1
Sheffield	192	-0.74	61.0
Sheffield	190	0.98	73.6
Sheffield	189	1.00	82.5
Sheffield	193	0.91	63.1
Sheffield	191	0.97	72.0
Sheffield	193	0.17	63.1
Sheffield	191	0.99	75.0
Sheffield	189	1.00	81.2
Sheffield	190	0.86	71.0
Sheffield	192	-0.89	46.7
Silwood	216	-0.88	44.4
Silwood	218	0.52	32.1
Silwood	208	-0.74	28.6
Silwood	217	-0.93	24.6
Silwood	215	-0.97	19.0
Silwood	219	1.00	54.4
Silwood	219	-0.91	46.1
Silwood	217	0.25	41.7
Silwood	208	0.16	49.2
Silwood	216	0.48	8.5
Silwood	218	0.72	15.9
Silwood	215	-0.95	28.6
