site	sr	mix.nest	level	tempCV	tempSD	tempMean
Germany	1	1	Community	16.0999	40.0350	248.6667
Germany	1	1	Community	10.8362	31.2408	288.3000
Germany	1	1	Group	16.0999	40.0350	248.6667
Germany	1	1	Group	10.8362	31.2408	288.3000
Germany	1	1	Species	16.0999	40.0350	248.6667
Germany	1	1	Species	10.8362	31.2408	288.3000
Germany	1	2	Community	7.9760	35.7539	448.2667
Germany	1	2	Community	27.7886	127.5958	459.1667
Germany	1	2	Group	7.9760	35.7539	448.2667
Germany	1	2	Group	27.7886	127.5958	459.1667
Germany	1	2	Species	7.9760	35.7539	448.2667
Germany	1	2	Species	27.7886	127.5958	459.1667
Germany	1	3	Community	19.0387	56.1197	294.7667
Germany	1	3	Community	39.6221	149.7056	377.8333
Germany	1	3	Group	19.0387	56.1197	294.7667
Germany	1	3	Group	39.6221	149.7056	377.8333
Germany	1	3	Species	19.0387	56.1197	294.7667
Germany	1	3	Species	39.6221	149.7056	377.8333
Germany	1	4	Community	16.8911	62.5310	370.2000
Germany	1	4	Community	21.1689	83.3350	393.6667
Germany	1	4	Group	16.8911	62.5310	370.2000
Germany	1	4	Group	21.1689	83.3350	393.6667
Germany	1	4	Species	16.8911	62.5310	370.2000
Germany	1	4	Species	21.1689	83.3350	393.6667
Germany	1	5	Community	7.4681	38.0100	508.9667
Germany	1	5	Community	30.0602	146.0924	486.0000
Germany	1	5	Group	7.4681	38.0100	508.9667
Germany	1	5	Group	30.0602	146.0924	486.0000
Germany	1	5	Species	7.4681	38.0100	508.9667
Germany	1	5	Species	30.0602	146.0924	486.0000
Germany	1	6	Community	74.6538	654.4901	876.7000
Germany	1	6	Community	27.3677	206.3343	753.9333
Germany	1	6	Group	74.6538	654.4901	876.7000
Germany	1	6	Group	27.3677	206.3343	753.9333
Germany	1	6	Species	74.6538	654.4901	876.7000
Germany	1	6	Species	27.3677	206.3343	753.9333
Germany	1	7	Community	42.0850	178.6369	424.4667
Germany	1	7	Community	29.4276	113.6004	386.0333
Germany	1	7	Group	42.0850	178.6369	424.4667
Germany	1	7	Group	29.4276	113.6004	386.0333
Germany	1	7	Species	42.0850	178.6369	424.4667
Germany	1	7	Species	29.4276	113.6004	386.0333
Germany	1	8	Community	22.9827	64.9490	282.6000
Germany	1	8	Community	16.7811	49.7561	296.5000
Germany	1	8	Group	22.9827	64.9490	282.6000
Germany	1	8	Group	16.7811	49.7561	296.5000
Germany	1	8	Species	22.9827	64.9490	282.6000
Germany	1	8	Species	16.7811	49.7561	296.5000
Germany	1	9	Community	49.0490	230.5139	469.9667
Germany	1	9	Community	28.1326	127.1498	451.9667
Germany	1	9	Group	49.0490	230.5139	469.9667
Germany	1	9	Group	28.1326	127.1498	451.9667
Germany	1	9	Species	49.0490	230.5139	469.9667
Germany	1	9	Species	28.1326	127.1498	451.9667
Germany	1	10	Community	29.5556	64.4016	217.9000
Germany	1	10	Community	22.3778	38.8404	173.5667
Germany	1	10	Group	29.5556	64.4016	217.9000
Germany	1	10	Group	22.3778	38.8404	173.5667
Germany	1	10	Species	29.5556	64.4016	217.9000
Germany	1	10	Species	22.3778	38.8404	173.5667
Germany	2	11	Community	28.3692	115.1883	406.0333
Germany	2	11	Community	50.4730	243.2799	482.0000
Germany	2	11	Group	28.3692	115.1883	406.0333
Germany	2	11	Group	50.4730	243.2799	482.0000
Germany	2	11	Species	159.6179	13.0355	8.1667
Germany	2	11	Species	32.0846	127.6538	397.8667
Germany	2	11	Species	61.7733	11.4692	18.5667
Germany	2	11	Species	53.9922	250.2177	463.4333
Germany	2	12	Community	29.5274	124.1039	420.3000
Germany	2	12	Community	31.9845	128.1724	400.7333
Germany	2	12	Group	29.5274	124.1039	420.3000
Germany	2	12	Group	31.9845	128.1724	400.7333
Germany	2	12	Species	56.2075	15.5320	27.6333
Germany	2	12	Species	32.2128	126.4889	392.6667
Germany	2	12	Species	41.6025	31.8814	76.6333
Germany	2	12	Species	29.8599	96.7758	324.1000
Germany	2	13	Community	36.1497	246.2636	681.2333
Germany	2	13	Community	62.0473	513.3795	827.4000
Germany	2	13	Group	70.2028	365.8034	521.0667
Germany	2	13	Group	90.6948	145.2628	160.1667
Germany	2	13	Group	65.4757	527.0361	804.9333
Germany	2	13	Group	80.8379	18.1616	22.4667
Germany	2	13	Species	70.2028	365.8034	521.0667
Germany	2	13	Species	90.6948	145.2628	160.1667
Germany	2	13	Species	65.4757	527.0361	804.9333
Germany	2	13	Species	80.8379	18.1616	22.4667
Germany	2	14	Community	63.7468	574.8900	901.8333
Germany	2	14	Community	61.9429	549.5367	887.1667
Germany	2	14	Group	173.0608	103.8365	60.0000
Germany	2	14	Group	68.8374	579.4960	841.8333
Germany	2	14	Group	171.6719	242.0573	141.0000
Germany	2	14	Group	93.6163	698.5339	746.1667
Germany	2	14	Species	173.0608	103.8365	60.0000
Germany	2	14	Species	68.8374	579.4960	841.8333
Germany	2	14	Species	171.6719	242.0573	141.0000
Germany	2	14	Species	93.6163	698.5339	746.1667
Germany	2	15	Community	19.7440	105.2882	533.2667
Germany	2	15	Community	16.2244	77.8283	479.7000
Germany	2	15	Group	17.9463	87.0274	484.9333
Germany	2	15	Group	41.1461	19.8873	48.3333
Germany	2	15	Group	21.3331	92.5357	433.7667
Germany	2	15	Group	75.5748	34.7140	45.9333
Germany	2	15	Species	17.9463	87.0274	484.9333
Germany	2	15	Species	41.1461	19.8873	48.3333
Germany	2	15	Species	21.3331	92.5357	433.7667
Germany	2	15	Species	75.5748	34.7140	45.9333
Germany	2	16	Community	47.3445	286.6078	605.3667
Germany	2	16	Community	30.5059	128.1756	420.1667
Germany	2	16	Group	140.3078	27.3132	19.4667
Germany	2	16	Group	53.3432	312.5380	585.9000
Germany	2	16	Group	99.1060	19.8873	20.0667
Germany	2	16	Group	36.9379	147.7887	400.1000
Germany	2	16	Species	140.3078	27.3132	19.4667
Germany	2	16	Species	53.3432	312.5380	585.9000
Germany	2	16	Species	99.1060	19.8873	20.0667
Germany	2	16	Species	36.9379	147.7887	400.1000
Germany	2	17	Community	28.3743	104.2565	367.4333
Germany	2	17	Community	66.0365	278.9162	422.3667
Germany	2	17	Group	32.1333	114.8550	357.4333
Germany	2	17	Group	127.3892	12.7389	10.0000
Germany	2	17	Group	68.8175	286.8541	416.8333
Germany	2	17	Group	165.3820	9.1511	5.5333
Germany	2	17	Species	32.1333	114.8550	357.4333
Germany	2	17	Species	127.3892	12.7389	10.0000
Germany	2	17	Species	68.8175	286.8541	416.8333
Germany	2	17	Species	165.3820	9.1511	5.5333
Germany	4	18	Community	17.7152	53.5472	302.2667
Germany	4	18	Community	46.2704	183.4157	396.4000
Germany	4	18	Group	17.7152	53.5472	302.2667
Germany	4	18	Group	46.2704	183.4157	396.4000
Germany	4	18	Species	16.5929	24.1758	145.7000
Germany	4	18	Species	28.9933	20.3726	70.2667
Germany	4	18	Species	70.5602	36.9500	52.3667
Germany	4	18	Species	49.2277	16.7046	33.9333
Germany	4	18	Species	68.5264	168.8948	246.4667
Germany	4	18	Species	27.6230	19.7228	71.4000
Germany	4	18	Species	43.0837	23.4950	54.5333
Germany	4	18	Species	78.1525	18.7566	24.0000
Germany	4	19	Community	32.0588	211.4383	659.5333
Germany	4	19	Community	2.2599	14.3885	636.7000
Germany	4	19	Group	28.8882	167.1184	578.5000
Germany	4	19	Group	57.5252	46.6146	81.0333
Germany	4	19	Group	3.4696	18.9650	546.6000
Germany	4	19	Group	20.4341	18.4111	90.1000
Germany	4	19	Species	90.8335	9.7797	10.7667
Germany	4	19	Species	27.7100	156.4971	564.7667
Germany	4	19	Species	92.3333	2.7392	2.9667
Germany	4	19	Species	57.5252	46.6146	81.0333
Germany	4	19	Species	80.9864	13.7947	17.0333
Germany	4	19	Species	7.2030	37.5469	521.2667
Germany	4	19	Species	81.3320	6.7506	8.3000
Germany	4	19	Species	20.4341	18.4111	90.1000
Germany	4	20	Community	10.5698	42.6985	403.9667
Germany	4	20	Community	21.9098	70.7905	323.1000
Germany	4	20	Group	7.0888	26.3231	371.3333
Germany	4	20	Group	64.1441	20.9324	32.6333
Germany	4	20	Group	28.2006	86.5666	306.9667
Germany	4	20	Group	103.3514	16.6740	16.1333
Germany	4	20	Species	60.5950	11.7554	19.4000
Germany	4	20	Species	32.2333	74.3730	230.7333
Germany	4	20	Species	48.6504	58.9643	121.2000
Germany	4	20	Species	64.1441	20.9324	32.6333
Germany	4	20	Species	11.4481	1.2097	10.5667
Germany	4	20	Species	45.1081	83.6003	185.3333
Germany	4	20	Species	27.6902	30.7546	111.0667
Germany	4	20	Species	103.3514	16.6740	16.1333
Germany	4	21	Community	18.9614	160.6852	847.4333
Germany	4	21	Community	25.9309	154.6781	596.5000
Germany	4	21	Group	28.7308	60.8615	211.8333
Germany	4	21	Group	43.0695	182.7870	424.4000
Germany	4	21	Group	61.2483	129.3564	211.2000
Germany	4	21	Group	42.2177	97.4947	230.9333
Germany	4	21	Group	9.8188	16.7607	170.7000
Germany	4	21	Group	47.0170	91.6204	194.8667
Germany	4	21	Species	89.0804	12.9167	14.5000
Germany	4	21	Species	25.0043	49.3419	197.3333
Germany	4	21	Species	43.0695	182.7870	424.4000
Germany	4	21	Species	61.2483	129.3564	211.2000
Germany	4	21	Species	96.3974	5.1733	5.3667
Germany	4	21	Species	40.9348	92.3353	225.5667
Germany	4	21	Species	9.8188	16.7607	170.7000
Germany	4	21	Species	47.0170	91.6204	194.8667
Germany	4	22	Community	36.9045	339.1034	918.8667
Germany	4	22	Community	13.7148	129.6784	945.5333
Germany	4	22	Group	152.9838	266.5487	174.2333
Germany	4	22	Group	173.2051	1.8475	1.0667
Germany	4	22	Group	75.4706	561.1745	743.5667
Germany	4	22	Group	153.9591	107.3095	69.7000
Germany	4	22	Group	173.2051	1.2124	0.7000
Germany	4	22	Group	27.2106	238.1292	875.1333
Germany	4	22	Species	160.6541	158.6727	98.7667
Germany	4	22	Species	142.9453	107.8761	75.4667
Germany	4	22	Species	173.2051	1.8475	1.0667
Germany	4	22	Species	75.4706	561.1745	743.5667
Germany	4	22	Species	172.3049	82.8786	48.1000
Germany	4	22	Species	115.8740	25.0288	21.6000
Germany	4	22	Species	173.2051	1.2124	0.7000
Germany	4	22	Species	27.2106	238.1292	875.1333
Germany	8	23	Community	21.6167	83.6640	387.0333
Germany	8	23	Community	60.5275	342.8078	566.3667
Germany	8	23	Group	21.6167	83.6640	387.0333
Germany	8	23	Group	60.5275	342.8078	566.3667
Germany	8	23	Species	32.7393	1.8771	5.7333
Germany	8	23	Species	35.4181	77.2469	218.1000
Germany	8	23	Species	23.0956	15.8513	68.6333
Germany	8	23	Species	60.4078	17.8807	29.6000
Germany	8	23	Species	68.4276	9.7623	14.2667
Germany	8	23	Species	10.0751	1.5885	15.7667
Germany	8	23	Species	10.8113	1.9604	18.1333
Germany	8	23	Species	67.3882	11.3212	16.8000
Germany	8	23	Species	92.0183	4.1102	4.4667
Germany	8	23	Species	76.2189	236.6344	310.4667
Germany	8	23	Species	73.3351	52.0435	70.9667
Germany	8	23	Species	60.7724	27.6109	45.4333
Germany	8	23	Species	64.8786	6.2067	9.5667
Germany	8	23	Species	26.4380	20.6921	78.2667
Germany	8	23	Species	45.7533	11.7738	25.7333
Germany	8	23	Species	20.7407	4.4523	21.4667
Germany	8	24	Community	57.1213	518.6232	907.9333
Germany	8	24	Community	31.7421	246.1391	775.4333
Germany	8	24	Group	64.0493	260.2965	406.4000
Germany	8	24	Group	76.3668	383.0048	501.5333
Germany	8	24	Group	72.5012	337.0581	464.9000
Germany	8	24	Group	68.2722	212.0081	310.5333
Germany	8	24	Species	71.9519	204.1035	283.6667
Germany	8	24	Species	47.6440	38.5440	80.9000
Germany	8	24	Species	75.4983	0.2517	0.3333
Germany	8	24	Species	38.7798	8.2213	21.2000
Germany	8	24	Species	117.0661	1.2097	1.0333
Germany	8	24	Species	136.0776	26.2176	19.2667
Germany	8	24	Species	77.0233	374.6157	486.3667
Germany	8	24	Species	83.3547	12.6421	15.1667
Germany	8	24	Species	71.5197	270.4635	378.1667
Germany	8	24	Species	59.1461	26.2017	44.3000
Germany	8	24	Species	75.2547	0.3512	0.4667
Germany	8	24	Species	63.9254	5.3910	8.4333
Germany	8	24	Species	5.9514	0.1528	2.5667
Germany	8	24	Species	155.6500	48.1996	30.9667
Germany	8	24	Species	68.2846	208.9282	305.9667
Germany	8	24	Species	68.1769	3.1134	4.5667
Germany	8	25	Community	24.6399	91.0855	369.6667
Germany	8	25	Community	23.1359	75.2921	325.4333
Germany	8	25	Group	15.4876	30.5261	197.1000
Germany	8	25	Group	67.5758	116.6132	172.5667
Germany	8	25	Group	12.5693	24.6609	196.2000
Germany	8	25	Group	41.3303	53.4125	129.2333
Germany	8	25	Species	68.2511	1.0693	1.5667
Germany	8	25	Species	24.5331	27.0519	110.2667
Germany	8	25	Species	95.2777	30.2665	31.7667
Germany	8	25	Species	120.9488	39.4293	32.6000
Germany	8	25	Species	44.1749	9.2326	20.9000
Germany	8	25	Species	69.4886	117.6905	169.3667
Germany	8	25	Species	35.1547	1.1015	3.1333
Germany	8	25	Species	173.2051	0.1155	0.0667
Germany	8	25	Species	152.0691	3.6497	2.4000
Germany	8	25	Species	7.6223	5.6710	74.4000
Germany	8	25	Species	41.9151	16.7381	39.9333
Germany	8	25	Species	38.1984	19.1374	50.1000
Germany	8	25	Species	49.9980	14.6828	29.3667
Germany	8	25	Species	46.9271	57.6421	122.8333
Germany	8	25	Species	116.4665	7.4539	6.4000
Germany	8	26	Community	43.8998	468.3519	1066.8667
Germany	8	26	Community	59.0892	549.5294	930.0000
Germany	8	26	Group	83.7669	336.9942	402.3000
Germany	8	26	Group	40.5976	81.5200	200.8000
Germany	8	26	Group	127.0365	589.1531	463.7667
Germany	8	26	Group	132.5435	538.8776	406.5667
Germany	8	26	Group	42.0330	42.6915	101.5667
Germany	8	26	Group	105.6374	445.6490	421.8667
Germany	8	26	Species	94.5934	13.7160	14.5000
Germany	8	26	Species	87.6452	297.7893	339.7667
Germany	8	26	Species	40.1125	15.5770	38.8333
Germany	8	26	Species	111.1091	10.2220	9.2000
Germany	8	26	Species	81.9760	119.6577	145.9667
Germany	8	26	Species	94.4998	51.8174	54.8333
Germany	8	26	Species	173.2051	1.8475	1.0667
Germany	8	26	Species	127.5786	590.3063	462.7000
Germany	8	26	Species	49.8907	3.8083	7.6333
Germany	8	26	Species	135.8969	533.8032	392.8000
Germany	8	26	Species	104.1511	4.8604	4.6667
Germany	8	26	Species	79.0243	1.1590	1.4667
Germany	8	26	Species	108.7757	66.4257	61.0667
Germany	8	26	Species	158.0068	63.9927	40.5000
Germany	8	26	Species	105.6374	445.6490	421.8667
Germany	8	27	Community	34.4547	289.6378	840.6333
Germany	8	27	Community	51.3763	370.8173	721.7667
Germany	8	27	Group	48.3507	93.1880	192.7333
Germany	8	27	Group	90.6279	181.5276	200.3000
Germany	8	27	Group	7.0489	31.5511	447.6000
Germany	8	27	Group	66.0807	155.8625	235.8667
Germany	8	27	Group	105.8718	135.0572	127.5667
Germany	8	27	Group	33.7234	120.8423	358.3333
Germany	8	27	Species	74.8628	32.7650	43.7667
Germany	8	27	Species	173.2051	2.2517	1.3000
Germany	8	27	Species	31.1658	26.2001	84.0667
Germany	8	27	Species	77.7148	49.4266	63.6000
Germany	8	27	Species	92.7231	176.5139	190.3667
Germany	8	27	Species	89.9097	8.9310	9.9333
Germany	8	27	Species	44.7731	158.4072	353.8000
Germany	8	27	Species	137.4969	128.9721	93.8000
Germany	8	27	Species	73.2876	38.4271	52.4333
Germany	8	27	Species	173.2051	0.6928	0.4000
Germany	8	27	Species	60.0240	70.1280	116.8333
Germany	8	27	Species	72.1129	47.7388	66.2000
Germany	8	27	Species	120.4828	140.9649	117.0000
Germany	8	27	Species	125.7584	13.2885	10.5667
Germany	8	27	Species	32.7701	113.8434	347.4000
Germany	8	27	Species	153.7628	16.8114	10.9333
Germany	16	28	Community	64.8542	437.6793	674.8667
Germany	16	28	Community	28.7633	265.9747	924.7000
Germany	16	28	Group	95.1740	529.3893	556.2333
Germany	16	28	Group	88.7993	11.9879	13.5000
Germany	16	28	Group	95.3003	100.1924	105.1333
Germany	16	28	Group	86.7633	459.7010	529.8333
Germany	16	28	Group	91.8021	12.0567	13.1333
Germany	16	28	Group	73.8056	281.7407	381.7333
Germany	16	28	Species	141.0861	13.5913	9.6333
Germany	16	28	Species	151.5632	4.1932	2.7667
Germany	16	28	Species	173.2051	0.1155	0.0667
Germany	16	28	Species	110.3838	448.4527	406.2667
Germany	16	28	Species	80.0945	64.3693	80.3667
Germany	16	28	Species	75.0432	0.8505	1.1333
Germany	16	28	Species	90.3725	18.5565	20.5333
Germany	16	28	Species	83.0549	29.4568	35.4667
Germany	16	28	Species	89.7304	11.8444	13.2000
Germany	16	28	Species	173.2051	0.5196	0.3000
Germany	16	28	Species	173.2051	0.0577	0.0333
Germany	16	28	Species	95.2931	5.2729	5.5333
Germany	16	28	Species	96.1446	43.2010	44.9333
Germany	16	28	Species	147.2305	80.4370	54.6333
Germany	16	28	Species	87.1861	8.2246	9.4333
Germany	16	28	Species	89.3525	364.6477	408.1000
Germany	16	28	Species	164.8952	30.6705	18.6000
Germany	16	28	Species	152.0691	0.6083	0.4000
Germany	16	28	Species	168.2335	2.9160	1.7333
Germany	16	28	Species	110.7083	101.3719	91.5667
