site	sr	mix.nest	level	tempCV
Germany	1	1	Species	16.09987654
Germany	1	1	Species	10.83622569
Germany	1	2	Species	7.976039751
Germany	1	2	Species	27.78856338
Germany	1	3	Community	19.03869384
Germany	1	3	Community	39.62213205
Germany	1	4	Community	16.89112705
Germany	1	4	Community	21.16892633
Germany	1	5	Species	7.468080922
Germany	1	5	Species	30.06017212
Germany	1	6	Community	74.65382589
Germany	1	6	Community	27.36770512
Germany	1	7	Community	42.0850252
Germany	1	7	Community	29.42761699
Germany	1	8	Species	22.98265392
Germany	1	8	Species	16.78114845
Germany	1	9	Species	49.04898709
Germany	1	9	Species	28.13255417
Germany	1	10	Species	29.55558991
Germany	1	10	Species	22.37777435
Germany	2	11	Community	28.3691721
Germany	2	11	Community	50.47300841
Germany	2	12	Community	29.52744891
Germany	2	12	Community	31.98446105
Germany	2	13	Community	36.14967349
Germany	2	13	Community	62.04731207
Germany	2	14	Community	63.74681024
Germany	2	14	Community	61.94288887
Germany	2	15	Species	17.94625471
Germany	2	15	Species	41.14606677
Germany	2	15	Species	21.33306866
Germany	2	15	Species	75.57479422
Germany	2	16	Community	47.3445
Germany	2	16	Community	30.50588418
Germany	2	17	Community	28.37427014
Germany	2	17	Community	66.03649868
Germany	4	18	Species	16.5928719
Germany	4	18	Species	28.99328131
Germany	4	18	Species	70.5601743
Germany	4	18	Species	49.22767246
Germany	4	18	Species	68.52641466
Germany	4	18	Species	27.62301038
Germany	4	18	Species	43.08367482
Germany	4	18	Species	78.15249516
Germany	4	19	Community	32.0587698
Germany	4	19	Community	2.259861333
Germany	4	20	Species	60.59497051
Germany	4	20	Species	32.23331467
Germany	4	20	Species	48.65042182
Germany	4	20	Species	64.14407975
Germany	4	20	Species	11.44810556
Germany	4	20	Species	45.10808578
Germany	4	20	Species	27.69018553
Germany	4	20	Species	103.3514362
Germany	4	21	Community	18.96140077
Germany	4	21	Community	25.93094469
Germany	4	22	Species	160.6540929
Germany	4	22	Species	142.9453031
Germany	4	22	Species	173.2050808
Germany	4	22	Species	75.47063749
Germany	4	22	Species	172.3048778
Germany	4	22	Species	115.8739974
Germany	4	22	Species	173.2050808
Germany	4	22	Species	27.21062112
Germany	8	23	Community	21.61674033
Germany	8	23	Community	60.52753182
Germany	8	24	Community	57.12128854
Germany	8	24	Community	31.74213736
Germany	8	25	Species	68.25112737
Germany	8	25	Species	24.53312917
Germany	8	25	Species	95.27766478
Germany	8	25	Species	120.9487847
Germany	8	25	Species	44.17488569
Germany	8	25	Species	69.48860886
Germany	8	25	Species	35.15470562
Germany	8	25	Species	173.2050808
Germany	8	25	Species	152.0690633
Germany	8	25	Species	7.622283268
Germany	8	25	Species	41.91505927
Germany	8	25	Species	38.19839909
Germany	8	25	Species	49.99803516
Germany	8	25	Species	46.92709436
Germany	8	25	Species	116.4665322
Germany	8	26	Community	43.89975553
Germany	8	26	Community	59.08918559
Germany	8	27	Species	74.86284341
Germany	8	27	Species	173.2050808
Germany	8	27	Species	31.16581714
Germany	8	27	Species	77.71479916
Germany	8	27	Species	92.72312287
Germany	8	27	Species	89.90971854
Germany	8	27	Species	44.77309124
Germany	8	27	Species	137.496939
Germany	8	27	Species	73.28757246
Germany	8	27	Species	173.2050808
Germany	8	27	Species	60.02400817
Germany	8	27	Species	72.11294307
Germany	8	27	Species	120.4828416
Germany	8	27	Species	125.758355
Germany	8	27	Species	32.77010861
Germany	8	27	Species	153.7628493
Germany	16	28	Community	64.85419588
Germany	16	28	Community	28.76334803
Germany	16	29	Species	87.17797887
Germany	16	29	Species	81.38873127
Germany	16	29	Species	80.23288951
Germany	16	29	Species	72.25189903
Germany	16	29	Species	145.2966315
Germany	16	29	Species	82.27152607
Germany	16	29	Species	119.9987049
Germany	16	29	Species	74.61532266
Germany	16	29	Species	162.5
Germany	16	29	Species	86.73336
Germany	16	29	Species	104.5276644
Germany	16	29	Species	173.2050808
Germany	16	29	Species	155.8269065
Germany	16	29	Species	64.84128221
Germany	16	29	Species	29.7315933
Germany	16	29	Species	137.03305
Germany	16	29	Species	93.63543944
Germany	16	29	Species	98.69612152
Germany	16	29	Species	142.8934874
Germany	16	29	Species	86.20438042
Germany	16	29	Species	141.9727086
Germany	16	29	Species	139.2868495
Germany	16	29	Species	161.6548847
Germany	16	29	Species	149.5586211
Germany	16	29	Species	121.3419255
Germany	16	30	Community	47.66509269
Germany	16	30	Community	22.34483515
Portugal	1	31	Community	79.80518373
Portugal	1	31	Community	77.22944677
Portugal	1	32	Species	103.2320251
Portugal	1	32	Species	71.85737393
Portugal	1	33	Community	116.8364929
Portugal	1	33	Community	80.79259552
Portugal	1	34	Species	170.1030982
Portugal	1	34	Species	147.4180159
Portugal	1	35	Community	86.39860603
Portugal	1	35	Community	56.24981443
Portugal	1	36	Community	71.69921741
Portugal	1	36	Community	81.55382029
Portugal	1	37	Species	121.3044215
Portugal	1	37	Species	139.201968
Portugal	1	38	Community	88.78031757
Portugal	1	38	Community	105.9169648
Portugal	1	39	Community	92.14707633
Portugal	1	39	Community	92.32222622
Portugal	1	40	Community	110.4976336
Portugal	1	40	Community	88.15352529
Portugal	1	41	Community	107.7751153
Portugal	1	41	Community	106.1399664
Portugal	1	42	Community	163.2935969
Portugal	1	42	Community	172.9539579
Portugal	1	43	Community	173.2050808
Portugal	1	43	Community	173.2050808
Portugal	1	44	Community	86.33404053
Portugal	1	44	Community	94.83258315
Portugal	2	45	Species	173.2050808
Portugal	2	45	Species	65.40038624
Portugal	2	45	Species	173.2050808
Portugal	2	45	Species	31.81525827
Portugal	2	46	Species	100.7841379
Portugal	2	46	Species	153.2112862
Portugal	2	46	Species	116.4132576
Portugal	2	46	Species	135.5708562
Portugal	2	47	Community	52.74290068
Portugal	2	47	Community	69.33402707
Portugal	2	48	Community	80.97933844
Portugal	2	48	Community	96.88568659
Portugal	2	49	Species	140.1433368
Portugal	2	49	Species	133.0265904
Portugal	2	49	Species	117.8591968
Portugal	2	49	Species	98.26297494
Portugal	4	50	Community	94.28545538
Portugal	4	50	Community	83.84584063
Portugal	4	51	Community	39.7474237
Portugal	4	51	Community	91.89704478
Portugal	4	52	Community	87.69085869
Portugal	4	52	Community	92.22826553
Portugal	4	53	Community	68.98396186
Portugal	4	53	Community	114.7345837
Portugal	4	54	Community	71.99304676
Portugal	4	54	Community	90.51743191
Portugal	8	55	Community	39.9170233
Portugal	8	55	Community	75.74150491
Portugal	8	56	Species	173.2050808
Portugal	8	56	Species	58.58062902
Portugal	8	56	Species	173.2050808
Portugal	8	56	Species	86.48270436
Portugal	8	56	Species	173.2050808
Portugal	8	56	Species	127.1576059
Portugal	8	56	Species	120.0653531
Portugal	8	56	Species	173.2050808
Portugal	8	56	Species	160.4797019
Portugal	8	56	Species	151.8528228
Portugal	8	56	Species	145.3723273
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	107.8547776
Portugal	14	57	Species	81.80520416
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	132.0630227
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	73.09115448
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	149.7716753
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	145.5389612
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	106.2261562
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	85.6452478
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	156.5144401
Portugal	14	57	Species	98.81634314
Portugal	14	57	Species	130.3680593
Portugal	14	57	Species	170.1027264
Portugal	14	57	Species	142.9995468
Portugal	14	57	Species	69.01355423
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	86.75686638
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	170.9639676
Portugal	14	57	Species	85.13489003
Portugal	14	57	Species	161.1295997
Portugal	14	57	Species	91.09176822
Portugal	14	57	Species	170.2737089
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	120.6209206
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	149.7940974
Portugal	14	57	Species	173.2050808
Portugal	14	57	Species	108.0767215
Switzerland	1	58	Community	19.4164558
Switzerland	1	58	Community	14.7729689
Switzerland	1	59	Species	32.93096126
Switzerland	1	59	Species	40.46019757
Switzerland	1	60	Species	36.30506708
Switzerland	1	60	Species	67.80298392
Switzerland	1	61	Community	55.415651
Switzerland	1	61	Community	69.80696312
Switzerland	1	62	Species	27.04360534
Switzerland	1	62	Species	24.39336735
Switzerland	1	63	Community	22.82277352
Switzerland	1	63	Community	81.90358749
Switzerland	4	64	Species	83.95690815
Switzerland	4	64	Species	141.4213562
Switzerland	4	64	Species	107.0659371
